Time(s),Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Angular Momentum X (dps),Angular Momentum Y (dps),Angular Momentum Z (dps)
0.029911,0.011353,0.998901,-0.123169,-1.956940,0.785828,0.000000
0.030058,0.011841,1.002563,-0.121948,2.349854,-2.761841,0.381470
0.030205,0.015869,1.003296,-0.121094,-1.174927,1.575470,-2.292633
0.030352,0.017822,1.000244,-0.118286,0.000000,-0.396729,0.762939
0.030499,0.017700,1.001709,-0.118164,0.782013,-0.396729,-0.385284
0.030646,0.017822,0.998047,-0.118164,-0.392914,-1.579285,-1.148224
0.030793,0.013550,0.995239,-0.115723,0.392914,0.785828,0.381470
0.030940,0.015869,0.998291,-0.116211,-1.174927,1.182556,-0.766754
0.031087,0.024658,0.998535,-0.118774,2.738953,-1.579285,-1.529694
0.031234,0.023438,0.997070,-0.124634,-2.349854,1.575470,1.525879
0.031381,0.013428,0.989990,-0.118774,-0.392914,-1.972198,-2.292633
0.031528,0.013184,0.990356,-0.112061,0.782013,0.392914,0.000000
0.031675,0.013184,0.999023,-0.118286,-2.349854,0.785828,1.907349
0.031821,0.015259,0.994263,-0.119141,4.306793,-4.337311,-3.818512
0.031968,0.015381,0.996582,-0.120239,-0.782013,2.365112,1.525879
0.032116,0.011475,0.997192,-0.125366,-0.392914,-0.789642,-2.292633
0.032262,0.010498,0.991333,-0.123047,-1.564026,2.758026,0.381470
0.032409,0.012939,0.992676,-0.116089,1.564026,-3.154755,-0.766754
0.032557,0.014282,0.997925,-0.120361,-1.956940,1.182556,0.381470
0.032703,0.018677,0.996948,-0.120728,0.392914,0.000000,-0.766754
0.032850,0.020508,0.996704,-0.118164,1.956940,-3.944397,-1.148224
0.032997,0.017944,0.997925,-0.117188,-2.349854,6.305695,2.670288
0.033144,0.018066,0.994873,-0.115845,2.738953,-5.126953,-3.437042
0.033291,0.009888,0.998413,-0.119263,-0.782013,0.785828,0.000000
0.033438,0.010132,0.999146,-0.118042,-1.174927,0.785828,0.381470
0.033585,0.019531,1.000000,-0.116943,1.174927,-0.789642,-1.911163
0.033732,0.016479,1.003906,-0.117065,-2.349854,2.365112,1.907349
0.033879,0.010986,1.002075,-0.116943,1.564026,-4.734039,-1.529694
0.034026,0.009277,1.002197,-0.121216,0.392914,1.575470,-1.148224
0.034173,0.010620,0.999268,-0.119263,-1.174927,1.575470,1.144409
0.034320,0.011475,0.994629,-0.118164,3.131866,-2.368927,0.381470
0.034467,0.012451,1.000732,-0.121460,-1.564026,-0.396729,-4.199982
0.034614,0.014893,1.002075,-0.119873,-0.392914,1.968384,3.051758
0.034761,0.014526,1.000122,-0.118164,0.000000,-2.761841,-2.674103
0.034907,0.017212,0.999878,-0.119629,-1.174927,2.365112,1.144409
0.035054,0.012695,0.999268,-0.118896,0.782013,-1.186371,-1.148224
0.035201,0.009155,0.997803,-0.117554,0.392914,0.392914,-0.385284
0.035349,0.013672,0.993896,-0.122437,0.782013,0.000000,0.381470
0.035495,0.011841,0.994995,-0.119019,0.782013,-1.186371,-1.529694
0.035642,0.010254,0.994385,-0.116089,0.000000,0.785828,-1.529694
0.035789,0.007690,1.000000,-0.118164,-1.174927,-1.186371,1.525879
0.035936,0.010376,1.004517,-0.118896,-0.782013,1.182556,0.381470
0.036083,0.014771,1.003174,-0.118896,0.000000,-0.789642,-2.292633
0.036230,0.009155,1.000977,-0.121094,-1.174927,-1.186371,0.000000
0.036377,0.011841,0.998779,-0.121094,2.349854,2.365112,-0.766754
0.036524,0.016602,0.999146,-0.116577,0.000000,-0.789642,0.381470
0.036671,0.010132,1.001465,-0.116211,-0.392914,-1.186371,-2.674103
0.036818,0.012573,0.999268,-0.117310,1.564026,1.182556,1.144409
0.036965,0.018311,0.996460,-0.121094,-1.564026,-1.186371,-1.148224
0.037112,0.016724,1.001953,-0.120361,-0.782013,-0.396729,0.381470
0.037262,0.019409,1.003906,-0.123169,0.392914,-0.396729,-0.766754
0.037406,0.008545,1.002075,-0.118408,-0.392914,0.785828,0.762939
0.037553,0.011841,0.999023,-0.111084,1.956940,-1.579285,-2.674103
0.037700,0.019653,1.004028,-0.112305,0.782013,0.785828,0.762939
0.037846,0.019287,1.000977,-0.113403,-0.782013,0.785828,-1.911163
0.037993,0.015747,0.995361,-0.118896,-0.392914,-2.368927,0.381470
0.038140,0.010254,1.001831,-0.117432,-1.564026,1.182556,-0.385284
0.038287,0.014893,1.001465,-0.114624,0.782013,-1.186371,-1.148224
0.038435,0.013672,0.997192,-0.114136,-2.349854,0.000000,1.144409
0.038581,0.016846,0.999878,-0.116455,3.131866,0.392914,-3.818512
0.038728,0.020264,0.999634,-0.117188,-0.782013,-0.789642,3.433228
0.038875,0.019409,0.995483,-0.119019,-0.392914,1.968384,-2.292633
0.039022,0.013184,0.992065,-0.121338,2.349854,-1.579285,-0.385284
0.039169,0.015747,0.992188,-0.118164,-2.738953,-0.396729,1.144409
0.039316,0.018311,0.999512,-0.117188,0.000000,1.182556,-0.766754
0.039463,0.014282,0.997559,-0.121826,-0.782013,-1.972198,-0.766754
0.039610,0.018066,0.994019,-0.119995,0.000000,0.000000,-2.292633
0.039757,0.012695,0.997803,-0.117065,1.564026,0.000000,1.907349
0.039904,0.017700,1.000244,-0.117310,1.564026,-1.186371,-1.148224
0.040051,0.015625,0.998779,-0.118896,-1.174927,1.968384,-0.385284
0.040197,0.015259,1.001221,-0.117432,-1.564026,-1.186371,0.762939
0.040344,0.014038,0.999023,-0.115356,0.782013,-1.186371,-1.529694
0.040492,0.017090,0.996826,-0.119141,-2.349854,1.182556,-0.766754
0.040638,0.018066,1.001465,-0.120850,3.520966,-1.972198,0.762939
0.040785,0.012695,1.000244,-0.121582,-1.956940,0.392914,-1.529694
0.040932,0.016968,1.004028,-0.119507,0.392914,1.182556,0.381470
0.041079,0.010620,1.007324,-0.119751,1.956940,-2.368927,-0.385284
0.041226,0.013672,0.999756,-0.117554,-0.392914,0.392914,-1.911163
0.041373,0.018188,0.996338,-0.115723,-0.782013,1.182556,1.525879
0.041520,0.017212,0.997803,-0.114746,-1.174927,-1.579285,0.381470
0.041667,0.011719,1.003784,-0.122314,0.000000,0.785828,-1.529694
0.041814,0.015625,0.998535,-0.125854,1.174927,0.000000,0.000000
0.041961,0.018311,0.995728,-0.120728,-0.782013,0.785828,-0.766754
0.042108,0.009766,1.001587,-0.119263,1.564026,-2.368927,-2.292633
0.042255,0.011963,0.997437,-0.118164,-0.782013,-1.186371,1.907349
0.042402,0.018555,0.997314,-0.121094,-0.392914,2.758026,-0.385284
0.042550,0.014526,0.997925,-0.123169,0.000000,-2.368927,-1.911163
0.042696,0.014404,0.997681,-0.121948,-0.782013,0.000000,1.144409
0.042843,0.016846,0.995728,-0.122192,0.000000,1.968384,-0.385284
0.042990,0.015381,0.995605,-0.119629,0.000000,-0.789642,0.000000
0.043137,0.017822,1.001221,-0.116943,2.349854,-1.579285,-2.674103
0.043284,0.011719,0.999268,-0.121704,0.000000,0.785828,-0.766754
0.043431,0.012817,0.995361,-0.121826,-1.174927,0.000000,2.670288
0.043578,0.017578,0.994385,-0.122925,0.392914,-0.396729,-2.292633
0.043725,0.011108,0.999756,-0.121338,0.000000,-0.396729,0.000000
0.043872,0.010254,1.000366,-0.117798,-1.174927,-0.396729,0.000000
0.044019,0.016235,0.990967,-0.117676,0.392914,0.000000,0.000000
0.044165,0.013794,0.990356,-0.118042,1.174927,0.000000,-1.148224
0.044312,0.012573,0.992554,-0.118652,1.564026,-0.789642,-0.766754
0.044459,0.016235,0.995117,-0.121948,0.000000,0.392914,0.762939
0.044607,0.014526,0.995361,-0.120728,-1.564026,-0.789642,-0.766754
0.044753,0.011841,0.998535,-0.117798,0.392914,0.785828,0.000000
0.044900,0.013062,1.001343,-0.115234,-0.782013,0.392914,-0.766754
0.045047,0.015991,0.997559,-0.115356,1.174927,-0.396729,-1.529694
0.045194,0.012207,0.996460,-0.119507,-1.564026,-0.789642,1.907349
0.045341,0.015137,0.996948,-0.117554,1.956940,-0.396729,-3.437042
0.045488,0.012573,0.997437,-0.115723,-1.956940,1.182556,2.288818
0.045635,0.014160,0.997192,-0.114746,3.131866,-1.579285,-1.911163
0.045782,0.015503,0.999146,-0.118652,-3.131866,0.392914,-0.766754
0.045929,0.009888,1.004517,-0.117554,1.174927,0.000000,0.381470
0.046076,0.010864,1.007446,-0.117432,-1.564026,0.000000,0.381470
0.046223,0.016724,1.002930,-0.123169,1.174927,-0.396729,-1.148224
0.046370,0.018921,1.001587,-0.121948,1.564026,-0.396729,-0.766754
0.046517,0.021851,1.002441,-0.121460,-1.564026,0.785828,-1.148224
0.046663,0.024048,0.998779,-0.119873,1.174927,0.392914,1.144409
0.046810,0.018433,0.994873,-0.118530,0.782013,-2.761841,-2.292633
0.046957,0.009033,0.997070,-0.117432,-1.564026,0.785828,-0.385284
0.047104,0.011963,1.001953,-0.121460,-0.782013,0.785828,2.288818
0.047251,0.016113,0.997559,-0.120239,0.000000,-0.789642,-2.292633
0.047398,0.014282,0.998291,-0.116211,2.738953,-0.396729,-0.766754
0.047545,0.013794,1.003174,-0.120605,-1.174927,0.000000,-1.148224
0.047692,0.013916,1.009766,-0.120972,0.392914,0.392914,0.762939
0.047839,0.015625,1.003906,-0.117676,-1.174927,-1.186371,-0.766754
0.047986,0.013062,0.994751,-0.114990,1.956940,-1.579285,-1.529694
0.048133,0.017456,0.997925,-0.119751,-2.349854,2.758026,3.051758
0.048280,0.017456,0.998413,-0.119263,0.782013,-1.186371,-2.674103
0.048427,0.010864,0.998169,-0.121338,-0.782013,0.785828,0.381470
0.048574,0.008911,0.997559,-0.124878,1.564026,-0.396729,-0.385284
0.048721,0.012939,0.996460,-0.118652,0.392914,-1.579285,-2.292633
0.048868,0.015625,0.995605,-0.115234,-1.564026,-0.789642,-0.385284
0.049015,0.012695,0.999146,-0.117798,0.392914,1.575470,3.433228
0.049161,0.009155,1.005249,-0.117676,0.782013,-1.579285,-3.055573
0.049308,0.012451,1.004272,-0.119873,0.000000,-0.396729,-1.911163
0.049455,0.020142,0.999878,-0.119507,-0.392914,0.392914,3.051758
0.049602,0.022949,0.997192,-0.119019,-0.392914,1.182556,-1.148224
0.049749,0.013550,0.998779,-0.117798,2.738953,-1.186371,-1.911163
0.049896,0.013428,1.002563,-0.118042,-2.349854,0.000000,0.000000
0.050043,0.017334,1.000854,-0.119751,0.392914,-0.396729,1.144409
0.050190,0.016479,1.000732,-0.118530,1.174927,-0.396729,-3.437042
0.050337,0.017334,1.003540,-0.118774,-1.956940,0.000000,1.907349
0.050484,0.015503,0.995850,-0.115479,1.174927,-0.789642,-0.766754
0.050630,0.014648,0.993774,-0.113525,-1.564026,-0.396729,0.762939
0.050777,0.013550,1.000366,-0.116821,2.738953,1.182556,-1.911163
0.050924,0.009766,0.998657,-0.119507,-1.956940,-0.396729,1.525879
0.051071,0.011963,0.994141,-0.116821,1.564026,-0.789642,-2.292633
0.051218,0.017212,0.992798,-0.117432,-0.782013,-0.396729,0.000000
0.051365,0.013672,0.997925,-0.117065,-0.782013,-0.396729,0.000000
0.051512,0.010498,0.998047,-0.116211,0.782013,0.000000,-0.766754
0.051659,0.010864,0.999390,-0.115967,-0.782013,-0.396729,0.000000
0.051806,0.015991,1.000122,-0.117798,2.738953,1.182556,-0.766754
0.051953,0.017090,0.997070,-0.121216,-1.564026,-0.396729,-0.766754
